"date","followers","follower_count","new_followers","notable_followers","posts","replies","reposts","likes","quotes","bookmarks","mentions","mentioned_by"
"2026-08-24",NA,0,NA,NA,0,0,0,0,0,0,0,NA
"2026-08-25","alanstrange.bsky.social, samcardwell44.bsky.social, rosiecofrost.bsky.social, arjay61.bsky.social, thierryaaron.bsky.social",5,NA,NA,0,0,0,0,0,0,0,NA
"2026-08-26","alanstrange.bsky.social, samcardwell44.bsky.social, rosiecofrost.bsky.social, arjay61.bsky.social, thierryaaron.bsky.social",5,NA,NA,0,0,0,0,0,0,1,"thierryaaron.bsky.social"
"2026-08-27","davidweiland.bsky.social, eliasvarden.bsky.social, markosmalley.bsky.social, alanstrange.bsky.social, samcardwell44.bsky.social, rosiecofrost.bsky.social, arjay61.bsky.social, thierryaaron.bsky.social",8,"davidweiland.bsky.social, eliasvarden.bsky.social, markosmalley.bsky.social","eliasvarden.bsky.social(1000)",1,0,5,5,0,0,0,NA
"2026-08-28","thewild.news, davidweiland.bsky.social, eliasvarden.bsky.social, markosmalley.bsky.social, alanstrange.bsky.social, samcardwell44.bsky.social, rosiecofrost.bsky.social, arjay61.bsky.social, thierryaaron.bsky.social",9,"thewild.news","thewild.news(1039)",2,0,4,5,0,0,0,NA
"2026-08-29","thewild.news, davidweiland.bsky.social, eliasvarden.bsky.social, markosmalley.bsky.social, alanstrange.bsky.social, samcardwell44.bsky.social, rosiecofrost.bsky.social, arjay61.bsky.social, thierryaaron.bsky.social",9,"","",3,0,5,5,0,0,0,NA
"2026-08-30","faultfinderuk.bsky.social, thewild.news, davidweiland.bsky.social, eliasvarden.bsky.social, markosmalley.bsky.social, alanstrange.bsky.social, samcardwell44.bsky.social, rosiecofrost.bsky.social, arjay61.bsky.social, thierryaaron.bsky.social",10,"faultfinderuk.bsky.social","faultfinderuk.bsky.social(767)",3,0,4,5,0,0,0,NA
"2026-08-31","faultfinderuk.bsky.social, thewild.news, davidweiland.bsky.social, eliasvarden.bsky.social, markosmalley.bsky.social, alanstrange.bsky.social, samcardwell44.bsky.social, rosiecofrost.bsky.social, arjay61.bsky.social, thierryaaron.bsky.social",10,"","",3,0,5,5,0,0,0,NA
"2026-09-01","faultfinderuk.bsky.social, thewild.news, davidweiland.bsky.social, eliasvarden.bsky.social, markosmalley.bsky.social, alanstrange.bsky.social, samcardwell44.bsky.social, rosiecofrost.bsky.social, arjay61.bsky.social, thierryaaron.bsky.social",10,"","",4,0,4,5,0,0,0,NA
"2026-09-02","faultfinderuk.bsky.social, thewild.news, davidweiland.bsky.social, eliasvarden.bsky.social, markosmalley.bsky.social, alanstrange.bsky.social, samcardwell44.bsky.social, rosiecofrost.bsky.social, arjay61.bsky.social, thierryaaron.bsky.social",10,"","",4,0,5,5,0,0,0,NA
"2026-09-03","faultfinderuk.bsky.social, thewild.news, davidweiland.bsky.social, markosmalley.bsky.social, alanstrange.bsky.social, samcardwell44.bsky.social, rosiecofrost.bsky.social, arjay61.bsky.social, thierryaaron.bsky.social",9,"","",4,0,4,5,0,0,0,NA
"2026-09-04","faultfinderuk.bsky.social, thewild.news, davidweiland.bsky.social, markosmalley.bsky.social, alanstrange.bsky.social, samcardwell44.bsky.social, rosiecofrost.bsky.social, arjay61.bsky.social, thierryaaron.bsky.social",9,"","",4,0,5,5,0,0,0,NA
"2026-09-05","faultfinderuk.bsky.social, thewild.news, davidweiland.bsky.social, markosmalley.bsky.social, alanstrange.bsky.social, samcardwell44.bsky.social, rosiecofrost.bsky.social, arjay61.bsky.social, thierryaaron.bsky.social",9,"","",4,0,4,5,0,0,0,NA
